Gender,State,State_Rate,Height,Weight,BMI,Age,Rate
Male,MA,0.10043367599691301,184,67.8,20.0259924385633,77,0.332
Male,VA,0.141723188012751,163,89.4,33.6482366667921,82,0.8691477850126079
Male,NY,0.0908031518537939,170,81.2,28.0968858131488,31,0.01
Male,TN,0.11997276077779499,175,99.7,32.5551020408163,39,0.0215320408163265
Male,FL,0.11034460159958599,184,72.1,21.296077504725897,68,0.14975
Male,WA,0.16292469777544902,166,98.4,35.7091014661054,64,0.211237026418929
Male,NY,0.0908031518537939,178,98.9,31.214493119555602,67,0.14575
Male,NJ,0.132262016886695,182,97.1,29.3140925009057,46,0.03
Male,UT,0.105887423735871,174,79.3,26.1923635883208,73,0.26125
Male,PA,0.12856015999466,168,73.9,26.1833900226757,81,0.628
Male,AZ,0.11417982272520599,179,72.1,22.502418775943305,18,0.0105
Male,OH,0.127584238747809,186,73.5,21.2452306625043,35,0.0155
Male,CA,0.14425061809442902,165,101.4,37.245179063360894,64,0.213525309917355
Male,KY,0.31809953496167603,174,63.5,20.9737085480248,82,0.7786666666666671
Male,CA,0.14425061809442902,170,100.2,34.6712802768166,43,0.0330032439446367
Male,NC,0.17974890035698604,189,74.2,20.7720948461689,26,0.01475
Male,TX,0.10067129886231199,172,68.7,23.222011898323398,63,0.1105
Male,TX,0.10067129886231199,176,98.2,31.701962809917397,29,0.010052944214876
Male,MI,0.11610066079397198,174,78.4,25.895098427797603,52,0.0695
Male,IN,0.127531359173892,171,75.0,25.648917615676602,27,0.016
Male,NY,0.0908031518537939,178,108.2,34.149728569625,50,0.0631331271304128
Male,IL,0.10940474536577198,183,92.8,27.710591537519804,35,0.01525
Male,NY,0.0908031518537939,183,72.4,21.6190390874616,32,0.01
Male,CA,0.14425061809442902,185,88.2,25.7706355003652,70,0.2535
Male,OH,0.127584238747809,166,64.4,23.370590796922603,78,0.4085
Male,NC,0.17974890035698604,171,70.0,23.9389897746315,54,0.06525
Male,PA,0.12856015999466,163,64.3,24.2011366630283,78,0.40875
Male,OH,0.127584238747809,186,95.9,27.7199676263152,49,0.03425
Male,NY,0.0908031518537939,178,65.8,20.7675798510289,74,0.2195
Male,LA,0.139323916055719,189,67.5,18.896447467876,42,0.03125
Male,TX,0.10067129886231199,170,68.0,23.529411764705895,30,0.011000000000000001
Male,CA,0.14425061809442902,181,93.0,28.387411861664802,76,0.39299999999999996
Male,TX,0.10067129886231199,189,95.9,26.846952772878698,27,0.01
Male,WA,0.16292469777544902,166,85.6,31.0640150965307,80,0.7325
Male,TX,0.10067129886231199,175,96.1,31.3795918367347,45,0.03225
Male,FL,0.11034460159958599,180,101.5,31.3271604938272,77,0.34325
Male,MO,0.11438625835344801,176,86.5,27.924845041322303,64,0.1245
Male,IA,0.125604724131446,174,53.9,17.8028801691108,19,0.0066666666666666706
Male,NY,0.0908031518537939,182,90.9,27.442337881898304,43,0.019
Male,NC,0.17974890035698604,180,63.1,19.4753086419753,81,0.75925
Male,OH,0.127584238747809,179,99.3,30.991542086701397,56,0.07925
Male,KY,0.31809953496167603,183,92.3,27.5612887813909,64,0.12425
Male,NJ,0.132262016886695,181,116.5,35.5605750740209,43,0.0390741277738775
Male,GA,0.137354303950987,179,99.3,30.991542086701397,50,0.054000000000000006
Male,MA,0.10043367599691301,181,104.1,31.775586825799,33,0.0115184976038582
Male,MS,0.265578721907092,177,65.2,20.8113888090906,84,0.73475
Male,TX,0.10067129886231199,183,102.1,30.4876228015169,27,0.01
Male,NJ,0.132262016886695,185,96.8,28.283418553688804,29,0.013000000000000001
Male,ID,0.2279862177267,184,109.0,32.195179584121,60,0.11548263232514201
Male,PA,0.12856015999466,170,64.5,22.318339100345998,81,0.628
Male,PA,0.12856015999466,177,83.2,26.556864247183103,58,0.0815
Male,LA,0.139323916055719,183,81.4,24.3064886977814,42,0.03125
Male,MO,0.11438625835344801,178,66.9,21.1147582375963,51,0.061
Male,CA,0.14425061809442902,177,63.6,20.300679881260198,28,0.01075
Male,NC,0.17974890035698604,179,62.5,19.5062576074405,27,0.01475
Male,PA,0.12856015999466,181,91.4,27.899026281249,41,0.0225
Male,CA,0.14425061809442902,170,77.2,26.712802768166103,51,0.053
Male,CA,0.14425061809442902,169,99.1,34.6976646475964,61,0.169103027292462
Male,NC,0.17974890035698604,177,72.6,23.173417600306397,61,0.14225
Male,PA,0.12856015999466,175,76.6,25.0122448979592,26,0.0156666666666667
Male,CA,0.14425061809442902,190,84.3,23.3518005540166,26,0.01075
Male,AK,0.257532854739898,172,98.8,33.3964305029746,79,0.619341704975663
Male,RI,0.190780558467291,175,89.6,29.257142857142895,80,0.642
Male,MN,0.122278237053229,182,93.6,28.2574568288854,38,0.021
Male,GA,0.137354303950987,171,85.6,29.2739646386922,73,0.27399999999999997
Male,SC,0.18735875854301198,185,99.6,29.1015339663988,21,0.012
Male,MD,0.117150570277547,178,69.7,21.9984850397677,61,0.1085
Male,NY,0.0908031518537939,174,80.1,26.456599286563602,34,0.01
Male,MI,0.11610066079397198,182,103.0,31.0952783480256,68,0.2165
Male,IL,0.10940474536577198,182,113.2,34.174616592199,41,0.031996475365294
Male,PA,0.12856015999466,168,94.5,33.4821428571429,31,0.0171763392857143
Male,MI,0.11610066079397198,190,105.0,29.0858725761773,24,0.01325
Male,CT,0.129071275484612,172,104.4,35.289345592212,67,0.210674351000541
Male,TX,0.10067129886231199,165,88.2,32.396694214876,72,0.269332128099173
Male,FL,0.11034460159958599,175,86.9,28.375510204081603,30,0.01425
Male,PA,0.12856015999466,173,76.1,25.4268435296869,36,0.01675
Male,FL,0.11034460159958599,183,88.5,26.426587834811397,58,0.076
Male,NJ,0.132262016886695,177,69.7,22.2477576686137,58,0.06625
Male,IL,0.10940474536577198,175,102.0,33.3061224489796,44,0.0289676020408163
Male,NE,0.220026074907659,176,89.3,28.828770661156998,83,0.80425
Male,NY,0.0908031518537939,171,66.6,22.7762388427208,27,0.0085
Male,CA,0.14425061809442902,182,77.7,23.457311918850397,45,0.0355
Male,CA,0.14425061809442902,186,68.4,19.7710718002081,47,0.0355
Male,NC,0.17974890035698604,180,103.7,32.0061728395062,24,0.0157638888888889
